VRF,Address Family,Instance,Router ID,Auto Cost Enabled,BFD Enable,Graceful Restart Type,Graceful Restart Enabled,MPLS Auto Config,NSR Enabled,Preference,Paths,SPF Throttle Start,SPF Hold,SPF Maximum,Area,Area Type,SPF Total,MPLS TE,LSA Type,LSA Advertising Router,LSA ID,Number of Links,Link,Link ID,Link Data,Type,Summary,Summary Mask,Topology,Metric,Age,Checksum,Length,Option,Sequence Number,Interface,BFD Enable,Cost,Enabled,Passive,State,Interface Type,Dead Interval,DR IP Address,DR Router ID,Hello Interval,Hello Timer,Priority,Retransmit Interval,Transmit Delay,Neighbor,Neighbor Address,BDR IP Address,Dead Timer,DR IP Address,Neighbor Router ID,State,Event Count,Retransmit Queue
default,ipv4,2,10.2.255.16,False,False,cisco,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,172.17.2.0,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.0,0,1,1761,0x4371,28,None,8000002C,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,cisco,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,172.17.1.0,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.0,0,1,1761,0x4E67,28,None,8000002C,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,cisco,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,10.2.255.2,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.255,0,2,1511,0x8201,28,None,8000000E,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,cisco,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,10.2.255.1,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.255,0,2,1511,0x8CF7,28,None,8000000E,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,ietf,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,172.17.2.0,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.0,0,1,1761,0x4371,28,None,8000002C,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,ietf,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,172.17.1.0,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.0,0,1,1761,0x4E67,28,None,8000002C,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,ietf,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,10.2.255.2,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.255,0,2,1511,0x8201,28,None,8000000E,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,2,10.2.255.16,False,False,ietf,False,N/A,False,N/A,N/A,50,200,5000,0.0.0.0,normal,4,N/A,3,10.2.255.16,10.2.255.1,N/A,N/A,N/A,N/A,N/A,YES,255.255.255.255,0,2,1511,0x8CF7,28,None,8000000E,No Interfaces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Neighbors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.16.99.99,10.16.99.99,10.16.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.15.99.99,10.15.99.99,10.15.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.14.99.99,10.14.99.99,10.14.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.13.99.13,10.13.99.13,10.13.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.12.99.12,10.12.99.12,10.12.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.11.99.11,10.11.99.11,10.11.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.16,10.255.255.16,1,10.16.99.99,10.16.99.99,10.16.99.16,transit network,NO,N/A,0,1,430,0x3F48,36,None,8000000A,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.15.16.0,10.15.16.0,255.255.255.0,stub network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.14.15.14,10.14.15.14,10.14.15.15,transit network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.15.99.99,10.15.99.99,10.15.99.15,transit network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.14,10.255.255.14,2,10.14.99.99,10.14.99.99,10.14.99.14,transit network,NO,N/A,0,1,1958,0xD63D,48,None,8000000D,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.14,10.255.255.14,2,10.14.15.14,10.14.15.14,10.14.15.14,transit network,NO,N/A,0,1,1958,0xD63D,48,None,8000000D,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.13,10.255.255.13,2,10.13.99.13,10.13.99.13,10.13.99.13,transit network,NO,N/A,0,1,546,0xBCBC,48,None,8000000E,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.13,10.255.255.13,2,10.12.13.12,10.12.13.12,10.12.13.13,transit network,NO,N/A,0,1,546,0xBCBC,48,None,8000000E,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.12.13.12,10.12.13.12,10.12.13.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.11.12.11,10.11.12.11,10.11.12.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.12.99.12,10.12.99.12,10.12.99.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.11,10.255.255.11,2,10.11.99.11,10.11.99.11,10.11.99.11,transit network,NO,N/A,0,1,604,0xCDBB,48,None,80000011,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,cisco,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.11,10.255.255.11,2,10.11.12.11,10.11.12.11,10.11.12.11,transit network,NO,N/A,0,1,604,0xCDBB,48,None,80000011,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.16.99.99,10.16.99.99,10.16.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.15.99.99,10.15.99.99,10.15.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.14.99.99,10.14.99.99,10.14.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.13.99.13,10.13.99.13,10.13.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.12.99.12,10.12.99.12,10.12.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.99,10.255.255.99,6,10.11.99.11,10.11.99.11,10.11.99.99,transit network,NO,N/A,0,1,2004,0x1482,96,None,8000000C,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.16,10.255.255.16,1,10.16.99.99,10.16.99.99,10.16.99.16,transit network,NO,N/A,0,1,430,0x3F48,36,None,8000000A,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.15.16.0,10.15.16.0,255.255.255.0,stub network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.14.15.14,10.14.15.14,10.14.15.15,transit network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.15,10.255.255.15,3,10.15.99.99,10.15.99.99,10.15.99.15,transit network,NO,N/A,0,1,2005,0xCCB,60,None,80000009,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.14,10.255.255.14,2,10.14.99.99,10.14.99.99,10.14.99.14,transit network,NO,N/A,0,1,1958,0xD63D,48,None,8000000D,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.14,10.255.255.14,2,10.14.15.14,10.14.15.14,10.14.15.14,transit network,NO,N/A,0,1,1958,0xD63D,48,None,8000000D,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.13,10.255.255.13,2,10.13.99.13,10.13.99.13,10.13.99.13,transit network,NO,N/A,0,1,546,0xBCBC,48,None,8000000E,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.13,10.255.255.13,2,10.12.13.12,10.12.13.12,10.12.13.13,transit network,NO,N/A,0,1,546,0xBCBC,48,None,8000000E,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.12.13.12,10.12.13.12,10.12.13.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.11.12.11,10.11.12.11,10.11.12.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.12,10.255.255.12,3,10.12.99.12,10.12.99.12,10.12.99.12,transit network,NO,N/A,0,1,613,0x35E4,60,None,8000000B,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.11,10.255.255.11,2,10.11.99.11,10.11.99.11,10.11.99.11,transit network,NO,N/A,0,1,604,0xCDBB,48,None,80000011,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
default,ipv4,1,10.255.255.16,False,False,ietf,False,False,False,110,4,50,200,5000,0.0.0.0,normal,12,False,1,10.255.255.11,10.255.255.11,2,10.11.12.11,10.11.12.11,10.11.12.11,transit network,NO,N/A,0,1,604,0xCDBB,48,None,80000011,GigabitEthernet6,False,1,True,False,bdr,broadcast,40,10.16.99.99,10.255.255.99,10,00:00:04,1,5,1,10.255.255.99,10.16.99.99,10.16.99.16,00:00:32,10.16.99.99,10.255.255.99,full,6,0
CustB,ipv4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0.0.0,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GigabitEthernet8,False,1,True,False,dr,broadcast,40,172.17.3.16,10.2.255.16,10,00:00:07,1,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A