VRF,Address Family,Instance,Area,LSA Type,LSA,Age,Link Count,Check Sum,Sequence Number
default,ipv4,1,0.0.0.0,1,10.255.255.11,542,2,0x00CDBB,0x80000011
default,ipv4,1,0.0.0.0,1,10.255.255.12,551,3,0x0035E4,0x8000000B
default,ipv4,1,0.0.0.0,1,10.255.255.13,484,2,0x00BCBC,0x8000000E
default,ipv4,1,0.0.0.0,1,10.255.255.14,1894,2,0x00D63D,0x8000000D
default,ipv4,1,0.0.0.0,1,10.255.255.15,1943,3,0x000CCB,0x80000009
default,ipv4,1,0.0.0.0,1,10.255.255.16,370,1,0x003F48,0x8000000A
default,ipv4,1,0.0.0.0,1,10.255.255.99,1942,6,0x001482,0x8000000C
default,ipv4,1,0.0.0.0,2,10.11.12.11,796,,0x00C6FF,0x80000008
default,ipv4,1,0.0.0.0,2,10.11.99.11,542,,0x00CC4B,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.13.12,793,,0x00B709,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.99.12,551,,0x00BA59,0x80000008
default,ipv4,1,0.0.0.0,2,10.13.99.13,484,,0x00A867,0x80000008
default,ipv4,1,0.0.0.0,2,10.14.15.14,1894,,0x009B1A,0x80000007
default,ipv4,1,0.0.0.0,2,10.14.99.99,667,,0x004120,0x80000008
default,ipv4,1,0.0.0.0,2,10.15.99.99,1942,,0x00411F,0x80000007
default,ipv4,1,0.0.0.0,2,10.16.99.99,667,,0x003D20,0x80000008